fsa,total_private_dwellings,occupied_by_type_total,single_detached,semi_detached,row_house,apt_duplex,apt_lt5,apt_5plus,other_single_attached,movable,median_income
M5R,16591,13845,730,765,580,360,3845,7510,55,0,86000
M5S,10971,9020,120,230,320,170,1595,6515,70,0,70000
M5T,10452,9015,80,200,550,240,2830,5050,65,0,61600
M5V,42449,37165,20,70,225,55,790,35990,25,0,91000
M6A,9803,9210,1485,45,1290,450,2785,3150,5,0,72500
M6B,11630,10995,3375,70,165,720,1540,5115,5,5,86000
M6C,11093,10195,3520,860,30,495,2910,2385,0,0,91000
M6E,16172,14855,5145,2155,110,1335,4525,1545,30,0,82000
M6G,14329,13030,1665,2545,820,875,5970,985,170,5,91000
M6H,21284,19265,2135,2250,1040,1695,8335,3445,365,5,83000
M6J,17027,15450,520,1060,1735,1205,5425,5115,390,0,90000
M6K,25403,22725,380,545,920,395,5200,15220,50,5,72000
M6L,7721,7320,2760,390,95,290,825,2955,5,0,74000
M6M,16883,15910,4530,805,340,690,3270,6265,10,0,71500
M6N,16981,15955,3895,2960,830,865,3305,4075,25,0,75500
M6P,20750,19015,2110,1540,565,805,5865,8105,25,0,86000
M6R,9255,8480,1370,1245,280,690,3955,905,20,10,104000
M6S,15343,14515,5250,1530,340,510,2670,4210,10,0,108000
M7A,5,0,0,0,0,0,0,0,0,0,
M8V,24434,22830,3370,390,715,470,4880,13000,5,0,79000
M8W,9994,9405,4165,650,175,510,2290,1605,10,0,95000
M8X,4814,4580,2105,5,65,25,550,1820,0,0,139000
M8Y,10533,9985,3355,90,530,195,2915,2895,5,0,91000
M8Z,7784,7460,4125,205,700,280,395,1750,5,0,111000
M9A,16604,15710,5000,170,265,60,1040,9170,5,0,93000
M9B,13246,12700,6785,55,435,215,560,4640,15,0,108000
M9C,15834,15315,5400,455,915,175,215,8125,20,0,95000
M9L,4082,3775,530,1740,85,90,715,610,0,0,81000
M9M,8500,8165,1470,1515,650,230,1455,2845,0,0,82000
M9N,11272,10460,2695,385,280,400,1205,5495,5,0,69500
M9P,8199,7900,3570,135,335,265,270,3325,0,0,91000
M9R,12898,12415,3935,590,475,325,145,6945,0,0,82000
M9V,17463,16650,4630,620,2065,1900,735,6700,5,0,82000
M9W,14820,14170,5295,235,1295,1750,1045,4545,5,5,85000
N0A,14737,13055,11180,320,625,215,630,5,15,75,88000
N0B,31269,30135,25605,1200,1000,420,1475,45,120,275,120000
N0C,8191,6655,6140,35,75,35,260,0,10,105,85000
N0E,15375,13740,12705,170,290,130,355,5,25,65,92000
N0G,35896,32740,27125,830,1075,305,2850,5,160,395,83000
N0H,34400,23285,20030,430,1005,205,1400,35,55,115,86000
N0J,12005,11515,10400,210,85,85,425,20,15,275,97000
N0K,9419,9060,7945,205,145,40,565,5,20,120,90000
N0L,19408,18790,16900,195,345,165,740,20,50,365,100000
N0M,32011,27635,23625,535,905,195,1800,15,85,480,91000
N0N,18752,16930,15120,145,565,85,870,40,100,5,96000
N0P,23162,21265,18995,235,520,255,1105,5,45,105,80000
N0R,19287,18135,16950,250,445,85,310,0,15,75,107000
N1A,5563,4995,3970,200,140,175,505,0,0,0,77500
N1C,1237,1225,1010,5,115,85,0,0,0,0,153000
N1E,18055,17505,9885,1160,2230,1185,2170,860,15,0,96000
N1G,12853,11515,6305,375,2160,905,1020,750,0,0,98000
N1H,18802,18045,6965,665,1660,900,3315,4525,25,0,77000
N1K,3787,3675,2085,160,560,300,210,360,0,0,110000
N1L,6722,6175,2855,130,1885,260,1030,15,0,0,114000
N1M,7546,7220,4820,315,555,120,1215,110,15,75,95000
N1P,2526,2510,1915,190,235,30,125,0,0,5,118000
N1R,18081,17335,7950,1570,2230,800,3070,1660,45,10,77000
N1S,8187,7920,4995,350,665,255,1175,445,15,5,95000
N1T,5647,5580,3770,405,1225,85,40,55,5,0,124000
N2A,12178,11830,6205,840,1860,305,1645,980,5,0,96000
N2B,7329,7150,4070,285,420,140,1260,975,0,0,81000
N2C,7494,7280,1730,215,995,130,1230,2980,5,0,70000
N2E,14544,14235,6800,1560,2945,280,1315,1305,5,10,93000
N2G,8284,7800,1750,120,290,405,2050,3170,15,0,62400
N2H,11453,10785,4610,135,250,825,2560,2370,25,0,73500
N2J,10672,9475,3320,295,585,270,1510,3305,10,175,74500
N2K,10815,10575,7180,650,1345,190,805,405,0,0,120000
N2L,19681,16195,4700,405,1480,525,2665,6415,5,0,69500
N2M,16113,15510,5535,895,1930,480,4075,2580,5,0,71500
N2N,9145,9010,6425,790,950,260,475,115,0,0,108000
N2P,8848,8475,5055,280,1775,205,315,845,0,0,110000
N2R,5835,5675,3690,190,1420,65,280,15,15,0,116000
N2T,7109,6990,5225,320,1285,60,70,35,0,0,127000
N2V,6360,6260,4530,595,755,60,150,170,0,0,126000
N2Z,6608,5235,4260,140,350,55,395,0,30,10,103000
N3A,6395,6295,4810,650,255,70,495,0,5,5,111000
N3B,4824,4745,3260,570,260,75,565,0,10,0,107000
N3C,9657,9460,6790,690,715,290,780,170,5,15,114000
N3E,839,790,470,5,255,35,30,0,0,0,121000
N3H,10220,9755,5000,545,1090,260,1950,805,100,0,82000
N3L,6741,6530,4305,860,635,90,550,70,15,0,102000
N3P,3209,3175,1915,465,290,5,5,485,0,0,92000
N3R,15069,14720,9540,540,1580,250,1125,1670,15,5,83000
N3S,12070,11500,6435,475,1255,875,1785,640,30,0,68500
N3T,14602,13915,9035,390,845,460,1450,1680,35,15,86000
N3V,572,570,460,95,0,10,5,0,0,0,109000
N3W,5731,5580,4710,220,205,65,325,50,5,0,111000
N3Y,10382,9920,7275,395,415,380,1015,385,50,10,77500
N4B,3459,3340,2685,95,85,50,305,0,15,100,78000
N4G,9509,9210,6515,290,505,210,1145,500,30,15,75000
N4K,13555,12875,7740,420,745,290,2750,735,25,165,69500
N4L,4293,3720,2865,65,250,35,500,0,10,0,74500
N4N,4849,4395,3120,120,260,155,590,130,5,5,73000
N4S,14516,13970,8815,1060,965,355,1990,765,25,0,78000
N4T,5543,5435,3180,365,1055,40,110,685,0,0,98000
N4V,1360,1310,640,30,195,5,210,230,0,0,87000
N4W,5221,5050,3330,270,300,100,925,0,15,120,84000
N4X,4195,4065,3080,300,190,50,390,35,10,5,89000
N4Z,911,900,435,235,210,5,20,0,0,0,95000
N5A,15203,14550,8045,1320,725,675,2935,815,30,5,77000
N5C,6382,6195,4610,405,385,80,635,70,5,5,89000
N5H,5763,5525,4410,170,210,90,535,45,45,20,83000
N5L,2003,1695,1435,35,125,20,75,0,5,0,89000
N5P,8962,8650,5940,275,320,260,1295,550,10,0,77500
N5R,12933,12635,8910,1075,410,350,1650,225,10,0,80000
N5V,13236,12635,6655,1055,2525,185,1530,670,10,0,74500
N5W,12388,11585,6500,240,700,835,2285,985,40,0,64500
N5X,13738,13210,9080,85,1935,80,450,1585,0,0,103000
N5Y,16194,15290,6205,485,1785,610,1715,4475,20,0,63600
N5Z,11008,10535,5280,740,1470,445,1730,870,5,0,64500
N6A,9768,7355,1425,60,50,380,1350,4050,40,0,61200
N6B,7181,6485,855,225,115,340,2165,2755,15,5,49200
N6C,14812,14160,6790,565,1470,600,2205,2520,15,0,75500
N6E,10366,10105,4670,1065,2095,55,740,1475,0,0,75000
N6G,20315,18425,10860,805,3645,260,890,1960,0,5,96000
N6H,20694,19240,7680,180,1805,330,705,8545,5,0,71000
N6J,13174,12755,4555,275,2320,215,1045,4200,10,140,65000
N6K,15303,14940,8660,95,2600,60,870,2645,5,0,100000
N6L,1699,1575,945,0,430,5,5,190,0,0,103000
N6M,2822,2745,2255,40,320,10,50,60,0,0,109000
N6N,299,285,265,5,0,5,5,0,0,0,95000
N6P,4081,3970,3230,20,35,60,60,565,0,0,119000
N7A,6687,5680,4125,180,180,90,795,0,25,285,74000
N7G,8072,7875,5400,620,335,85,1240,0,5,190,85000
N7L,11583,11185,6930,545,465,170,2015,1040,10,15,68500
N7M,11361,10845,7755,495,360,260,1530,365,10,70,71000
N7S,11643,11285,8200,910,1050,70,520,515,15,0,93000
N7T,13973,12910,6595,380,625,670,2110,2485,40,5,58400
N7V,5713,5515,4270,10,75,35,155,920,5,40,83000
N7W,1316,1300,1200,20,35,0,20,20,0,0,81000
N7X,483,465,460,0,0,0,0,0,0,0,142000
N8A,5765,5485,4290,205,225,80,535,125,15,10,64500
N8H,10486,9870,6150,870,800,280,1010,735,10,10,78000
N8M,4755,4625,3585,30,205,45,320,60,5,370,88000
N8N,9580,9405,7335,660,480,70,145,510,0,205,108000
N8P,5536,5460,3265,490,1570,5,45,85,0,0,100000
N8R,4455,4390,3020,845,215,10,165,135,0,0,92000
N8S,10830,10475,6465,130,295,95,1010,2475,5,0,72500
N8T,8046,7770,3675,150,1830,60,1200,845,5,0,60800
N8W,10072,9760,8570,370,160,245,350,60,10,0,80000
N8X,7796,7300,4235,195,115,835,1135,780,10,0,60000
N8Y,9686,9135,4790,195,570,610,1330,1595,30,0,62800
N9A,14264,12565,3260,340,140,1470,2735,4600,25,5,45200
N9B,8223,7350,4170,585,285,365,1365,570,5,5,59600
N9C,5838,5350,2650,80,380,185,1105,940,5,0,54000
N9E,7779,7580,6880,160,235,45,250,0,5,0,103000
N9G,6728,6605,5400,655,305,20,60,165,0,0,111000
N9H,4737,4585,3510,550,80,10,290,135,0,0,117000
N9J,7389,7260,6400,325,215,35,200,80,5,0,119000
N9K,862,850,820,0,35,0,0,0,0,0,136000
N9V,8790,8505,6965,280,365,85,455,335,10,5,97000
N9Y,6522,6210,4875,320,505,65,385,0,5,45,90000
P0A,14748,8200,7570,65,45,80,310,5,30,95,68000
P0B,8951,4165,3975,25,25,70,45,0,10,10,90000
P0C,6930,2210,2150,10,0,5,40,0,5,5,78500
P0E,3164,1575,1480,10,10,20,10,0,0,50,83000
P0G,4048,1690,1610,10,0,15,25,0,5,25,72000
P0H,17044,13305,11950,235,145,205,540,10,30,210,80000
P0J,9704,8725,7270,115,70,215,880,45,45,85,72500
P0K,6383,5140,4370,160,75,95,350,10,15,65,75000
P0L,10591,9155,6795,550,265,280,980,0,10,275,77500
P0M,24862,21260,16805,860,600,615,1975,100,35,260,86000
P0N,4472,4005,3175,65,50,365,285,60,0,5,90000
P0P,12782,8820,7750,160,410,110,330,0,25,35,64000
P0R,8224,5785,5175,95,40,130,295,0,10,40,68500
P0S,6839,4500,4130,65,55,25,155,5,5,60,85000
P0T,17869,13595,12060,245,245,95,695,5,35,215,77000
P0V,9106,7320,6275,275,200,55,245,30,20,220,71500
P0W,3903,2535,2300,30,35,15,75,0,15,75,76500
P0X,7414,3365,2930,40,85,40,90,0,0,180,75500
P0Y,226,55,50,0,0,0,0,0,0,0,
P1A,7785,7430,3265,910,1385,225,1035,595,15,0,74000
P1B,16526,15245,7580,1100,595,1315,3060,1485,50,65,66000
P1C,1197,1175,1090,30,25,20,10,0,0,0,153000
P1H,10316,7695,6010,85,160,300,985,70,50,40,82000
P1L,9535,7520,5755,215,395,215,705,130,95,10,86000
P1P,6921,4605,3505,70,170,50,580,70,30,135,72500
P2A,10034,6465,4865,140,60,195,915,190,85,10,73500
P2B,4606,4370,2860,210,120,305,810,0,30,30,66000
P2N,3943,3405,2055,60,90,155,900,110,15,5,60800
P3A,10701,10310,5815,990,855,570,1685,375,15,5,83000
P3B,8194,7585,3240,350,385,840,2015,725,25,0,66500
P3C,10143,8925,2670,280,435,1175,3530,800,40,0,54000
P3E,14139,13205,6665,345,460,745,2315,2635,10,30,85000
P3G,1807,1630,1470,5,0,20,35,0,0,110,128000
P3L,3288,3175,2395,185,120,170,310,0,5,0,102000
P3N,3121,3060,2660,30,25,195,140,0,10,0,107000
P3P,6009,5850,4820,180,90,290,255,0,0,210,109000
P3Y,3167,2995,2500,180,25,0,120,145,0,20,113000
P4N,11932,10985,6520,860,220,715,1990,455,70,150,73500
P4P,1371,1325,750,220,235,15,95,0,10,0,101000
P4R,1820,1755,1385,40,105,15,105,0,5,105,116000
P5A,6275,5840,2630,1100,600,55,880,575,0,0,50000
P5E,2704,2415,1965,75,65,60,235,0,5,5,78500
P5N,4260,3870,2420,155,65,195,915,100,10,5,69000
P6A,16498,15005,9945,610,185,600,2000,1350,80,235,78000
P6B,11032,10425,6335,575,525,255,1985,705,5,30,69000
P6C,8926,8465,6015,645,235,570,980,0,15,0,71500
P7A,14359,13260,8625,595,585,770,1835,795,25,35,78500
P7B,11110,10335,5440,540,460,790,1990,1070,40,0,70000
P7C,10098,9490,6220,710,130,455,1685,275,15,0,72500
P7E,10401,9925,6505,150,235,385,2215,405,30,10,68500
P7G,5781,5020,4655,75,25,25,165,35,0,45,117000
P7J,1877,1795,1680,5,10,5,5,0,5,95,114000
P7K,2710,2650,2340,20,40,15,20,0,0,215,118000
P7L,1163,915,905,0,0,0,0,0,0,15,94000
P8N,4597,4245,3360,150,70,55,470,0,15,115,83000
P8T,2507,2210,1475,130,75,170,255,0,0,100,103000
P9A,5176,4410,3530,65,150,35,550,0,40,35,82000
P9N,7180,6040,4630,185,70,230,650,165,20,95,83000
R0A,16437,14370,11770,470,645,75,925,5,25,460,85000
R0B,12891,10340,8135,440,495,215,280,20,10,745,73500
R0C,29544,21985,19055,405,455,70,985,80,35,905,72500
R0E,27057,16215,14725,240,165,75,480,0,25,510,78000
R0G,16500,15475,13220,365,415,35,910,30,25,465,82000
R0H,5749,5165,4605,200,80,15,80,0,10,180,72500
R0J,14933,11520,9790,190,320,65,535,140,45,430,69000
R0K,12583,10865,9045,380,335,40,575,0,20,465,78000
R0L,13160,10895,9345,170,200,30,655,0,20,480,59200
R0M,9273,7905,6895,75,120,60,410,0,10,330,70500
R1A,8807,8445,6540,135,335,10,950,310,10,150,88000
R1B,164,160,10,0,0,0,5,150,0,0,75000
R1C,1545,1505,1060,0,0,0,0,0,5,440,103000
R1N,7388,6815,5090,165,355,45,795,260,5,100,72000
R2C,12905,12655,9800,920,375,35,1335,185,0,5,89000
R2E,3418,3380,3335,0,0,0,30,5,0,0,144000
R2G,15592,15190,7740,915,685,25,2125,3695,0,5,76000
R2H,8250,7780,3300,95,70,440,2435,1405,25,0,64500
R2J,10995,10725,7245,815,420,100,1795,345,5,0,91000
R2K,14077,13735,9200,710,415,50,2460,880,10,0,77000
R2L,6611,6295,3930,250,220,430,905,540,15,0,64500
R2M,17676,16950,9700,270,960,80,2860,3035,20,20,73000
R2N,12169,11935,7835,400,590,0,2480,295,0,340,102000
R2P,10878,10565,6260,850,665,5,2345,415,25,0,93000
R2R,7646,7510,5845,780,110,20,675,70,0,0,101000
R2V,14848,14445,9780,610,490,95,2420,935,5,105,86000
R2W,12516,11295,6395,480,305,1290,1885,885,55,0,57600
R2X,6993,6730,4950,120,670,175,705,70,35,0,78500
R2Y,8598,8385,4385,640,790,0,2025,540,0,5,80000
R3A,2276,1925,450,75,85,115,530,665,5,0,42800
R3B,7190,6135,425,30,35,165,1800,3660,15,0,42000
R3C,11402,9585,420,15,10,180,3365,5585,5,0,43600
R3E,7360,6815,4525,200,55,370,1315,340,15,0,69000
R3G,11243,10540,6620,105,125,815,2115,745,10,0,72000
R3H,44,40,45,0,0,0,0,0,0,0,
R3J,13080,12575,8060,100,205,25,1915,2255,10,0,77000
R3K,5421,5325,3510,95,160,0,610,780,0,175,89000
R3L,12201,11350,3245,160,205,250,3205,4290,5,0,63600
R3M,11041,10470,5125,185,45,440,2215,2450,10,0,81000
R3N,7579,7290,4935,180,380,60,1185,545,0,0,96000
R3P,8840,8475,4295,140,315,90,2340,1290,0,0,103000
R3R,10604,10370,7410,930,465,0,1135,425,0,0,102000
R3S,194,190,185,0,0,0,0,0,0,0,157000
R3T,20702,19535,9715,545,1200,80,4285,3715,5,0,74500
R3V,2500,2435,1460,180,270,5,395,115,0,0,90000
R3W,5857,5680,3120,465,265,165,1470,190,0,0,100000
R3X,7679,7495,5985,225,450,0,770,60,0,5,131000
R3Y,11151,10650,7495,520,665,0,1320,645,0,0,112000
R4A,1826,1795,1565,0,15,20,105,20,5,70,124000
R4G,561,550,530,0,20,0,0,0,0,0,168000
R4H,964,940,800,0,25,0,55,60,0,0,136000
R4J,378,365,365,0,0,0,0,0,0,0,150000
R4K,219,215,210,0,0,0,0,0,0,5,118000
R4L,493,475,465,0,5,0,0,0,0,5,119000
R5A,1366,1345,1255,30,10,0,45,0,0,5,120000
R5G,9193,8890,5530,735,310,275,1590,250,10,195,77000
R5H,2007,1940,1195,60,225,75,180,0,5,200,77000
R5J,509,485,485,0,0,0,0,0,0,0,94000
R5K,2137,2080,1720,0,110,15,195,0,0,35,112000
R5L,841,810,780,0,10,0,0,0,0,25,105000
R5M,839,800,785,0,0,0,5,0,0,15,113000
R5N,1923,1900,1725,95,15,0,55,0,0,5,132000
R5P,284,270,215,0,0,0,50,0,0,0,82000
R5R,499,485,475,0,0,0,5,0,5,5,113000
R5T,317,310,300,0,0,0,0,0,0,5,122000
R6M,4627,4440,3090,250,335,30,465,45,5,225,73000
R6W,7191,6990,4925,435,695,25,385,310,5,215,76000
R7A,13183,12280,6700,330,1045,455,2785,675,20,260,73000
R7B,9324,8975,5270,505,475,70,2195,50,15,405,86000
R7C,1448,1335,235,75,80,0,240,0,0,700,69500
R7N,4762,4440,3380,70,150,65,450,55,0,270,64500
R8A,2696,2440,1935,5,50,130,310,0,5,5,82000
R8N,5557,4790,2415,165,440,5,1180,150,5,435,98000
R9A,2817,2600,1620,155,100,10,545,5,5,165,91000
S0A,27603,22735,20460,435,430,185,640,0,40,550,66500
S0C,11121,8820,7655,125,145,30,190,0,40,640,84000
S0E,16177,13365,11070,375,95,90,1105,145,10,465,70000
S0G,33003,26600,23800,590,475,80,625,5,70,955,81000
S0H,11473,9205,8155,245,195,50,235,0,85,240,72500
S0J,25168,17725,15390,725,295,110,405,0,85,720,71000
S0K,37514,33685,28815,1110,1200,515,1200,0,90,750,91000
S0L,14774,12255,10505,225,200,60,625,15,45,575,83000
S0M,23520,17385,14785,730,275,110,330,15,40,1105,71000
S0N,10151,8070,7290,80,100,20,240,0,30,310,72500
S0P,2104,1795,1465,110,40,0,25,0,5,145,80000
S2V,505,355,345,5,0,0,0,0,0,0,128000
S3N,8537,7910,5825,275,230,55,1345,0,0,175,78000
S4A,5770,4985,3395,150,160,75,930,45,5,225,97000
S4H,5509,5020,3415,140,105,50,1060,115,5,130,82000
S4K,49,35,30,0,0,0,0,0,0,5,
S4L,1884,1850,1765,15,20,0,5,0,0,50,164000
S4N,12993,12140,8745,610,800,605,1080,150,10,140,82000
S4P,8233,6910,1675,85,405,165,2350,2170,10,50,51200
S4R,14878,13950,9825,435,445,365,2530,330,5,20,81000
S4S,15091,14290,8585,100,840,155,3705,895,5,0,89000
S4T,15314,13575,9795,375,395,480,2355,170,0,0,71500
S4V,13228,12725,8195,485,1140,135,2630,145,0,0,119000
S4W,5941,5455,2345,180,825,210,1515,380,0,0,97000
S4X,11444,11145,7740,330,1140,65,1770,100,0,0,109000
S4Y,2033,1980,1725,25,30,25,120,45,0,0,139000
S4Z,707,650,125,20,5,0,500,0,0,0,84000
S6H,13539,12290,9035,295,300,355,1610,635,50,20,71000
S6J,2546,2375,1320,35,105,0,625,5,30,250,88000
S6K,483,465,440,20,0,5,0,0,0,0,127000
S6V,17131,15800,10740,375,460,305,3075,590,10,240,75500
S6W,166,145,40,25,10,0,40,30,0,0,81000
S6X,778,765,615,85,30,0,25,0,0,0,154000
S7A,44,45,40,0,0,0,0,0,0,0,
S7B,217,210,10,0,0,0,0,0,0,200,75000
S7C,467,390,390,0,0,0,0,0,0,0,153000
S7H,17436,16170,7785,760,805,1180,5365,165,5,110,76000
S7J,13436,12825,8090,595,355,580,2695,505,5,0,87000
S7K,18371,17110,9035,680,505,435,3435,2945,10,65,83000
S7L,16917,15430,11045,535,465,1205,2160,20,5,5,80000
S7M,14577,13020,6440,565,345,830,4555,245,15,25,69000
S7N,12398,11380,5515,535,925,725,2820,630,5,225,84000
S7P,65,60,60,0,0,0,0,0,0,0,
S7R,2968,2825,1860,45,515,235,165,0,0,0,112000
S7S,2338,2235,1315,0,250,5,660,0,0,0,107000
S7T,6930,6440,3240,120,1120,240,1550,175,0,0,105000
S7V,6471,6125,3455,160,1180,415,910,0,0,0,112000
S7W,7168,6640,3570,5,990,690,1350,35,0,0,115000
S9A,6750,6075,4270,190,235,100,1025,150,35,70,75000
S9H,8611,7895,5310,395,365,165,1285,105,10,265,80000
S9V,6099,5405,3440,105,760,45,810,65,0,180,90000
S9X,3095,2850,2100,180,175,70,160,0,10,155,88000
T0A,27641,22165,18455,480,390,160,805,5,30,1835,88000
T0B,28586,24590,21450,290,295,120,380,10,135,1920,83000
T0C,29839,24010,20105,315,435,80,570,5,45,2460,80000
T0E,21807,16110,12495,285,480,85,740,0,35,1990,86000
T0G,18790,14995,10925,280,420,65,600,0,20,2685,85000
T0H,32729,28180,22170,470,750,150,760,5,55,3815,89000
T0J,20564,18210,15640,470,295,75,690,5,45,1000,83000
T0K,21924,19075,16910,320,370,215,335,5,70,855,81000
T0L,21062,18865,15775,750,505,210,670,20,35,910,84000
T0M,29058,26065,20200,1030,850,120,660,5,70,3125,86000
T0P,1470,1125,860,55,35,15,35,0,0,120,82000
T1A,12341,11440,7025,385,600,430,2430,135,25,410,65500
T1B,13781,13285,9255,860,935,40,1755,0,0,435,91000
T1C,4147,3965,2375,310,190,15,910,95,0,65,92000
T1G,4101,3960,2985,205,75,120,425,0,5,150,84000
T1H,12017,11430,7400,925,765,895,1200,0,5,235,76500
T1J,11692,10735,5920,545,780,1050,1845,495,5,100,81000
T1K,20198,19005,12730,1030,940,1100,2400,330,0,465,88000
T1L,2875,2570,290,225,285,495,1250,0,20,0,88000
T1M,3712,3615,2875,125,120,40,160,0,5,290,92000
T1P,6817,6505,4115,700,560,60,735,0,0,335,93000
T1R,6340,5965,3435,400,565,185,795,0,0,585,93000
T1S,15604,15110,12585,635,650,120,960,0,10,155,126000
T1V,6505,6310,3445,1035,715,100,720,0,5,295,84000
T1W,9845,7235,2895,575,1380,400,1710,255,10,10,106000
T1X,8037,7790,6265,620,675,15,200,0,0,15,131000
T1Y,18409,17210,10420,1745,2065,1315,1365,5,0,295,85000
T1Z,822,775,755,0,0,5,0,0,0,10,133000
T2A,22555,21005,9215,1235,3100,2845,3745,125,0,755,75000
T2B,9835,9235,4800,710,935,925,1810,0,5,55,72500
T2C,8525,8230,5215,480,730,575,1080,5,0,140,94000
T2E,19054,17545,4945,1160,1405,2350,6210,1465,10,0,77500
T2G,10983,9420,1335,200,520,410,1275,5670,5,0,70500
T2H,4592,4295,1925,120,190,105,1215,745,0,0,68500
T2J,17613,17105,12530,510,1605,130,2095,195,5,35,103000
T2K,15319,14530,7295,1460,2045,1305,2195,230,0,0,80000
T2L,6689,6140,3795,90,610,180,820,650,0,0,86000
T2M,9760,8990,3725,1445,210,1690,1785,120,10,0,92000
T2N,13130,11865,4235,1055,500,840,3805,1415,20,0,94000
T2P,9867,8260,125,5,95,0,215,7820,0,5,67000
T2R,13181,11615,30,5,175,10,1550,9840,5,0,72500
T2S,8747,7965,2140,190,170,315,2945,2200,0,0,88000
T2T,16539,15130,4265,1535,960,1060,6405,840,60,0,93000
T2V,15618,14795,6820,635,1240,280,3530,2275,0,5,85000
T2W,16823,16325,10265,1210,2830,170,1840,5,0,5,95000
T2X,19797,19310,12930,1695,1955,175,2555,0,0,0,116000
T2Y,21448,20945,15050,950,1380,215,3325,15,0,5,108000
T2Z,25217,24720,18135,1085,2820,60,2615,5,0,5,118000
T3A,19432,18800,13450,955,1765,145,1740,735,0,0,110000
T3B,17084,15965,8740,1325,1975,635,2150,660,5,480,96000
T3C,12822,11670,3135,545,465,870,3760,2890,5,0,75000
T3E,19562,18440,7095,1745,3330,1200,4140,880,50,0,90000
T3G,21032,20585,14915,840,2080,155,2440,145,5,0,112000
T3H,26491,25550,17270,1830,2985,20,2615,825,0,0,139000
T3J,22350,21115,14605,1090,1600,2375,1450,0,0,0,98000
T3K,27820,27115,19305,2090,2675,275,2770,0,0,0,103000
T3L,10546,10275,8860,405,495,15,490,5,0,0,143000
T3M,20745,19895,12530,1675,1755,110,3715,125,0,0,126000
T3N,10566,9985,4610,850,1395,315,2795,15,0,0,99000
T3P,8992,8690,6540,665,1060,35,120,275,0,5,122000
T3R,11849,11440,7585,215,1740,50,1320,530,0,0,118000
T3S,121,115,115,0,0,0,0,0,0,0,90000
T3Z,3730,3565,3270,260,0,5,10,0,0,15,216000
T4A,7439,7190,5485,185,495,20,850,0,0,150,112000
T4B,21015,20465,13030,1430,3335,75,2415,45,70,65,110000
T4C,14724,13970,9070,1745,1800,110,1215,0,5,15,115000
T4E,2091,1940,1635,5,10,5,65,0,0,225,104000
T4G,6073,5125,3470,290,255,55,530,0,5,520,82000
T4H,5163,4795,3245,370,190,165,525,0,15,280,86000
T4J,4758,4465,3350,165,85,120,500,0,5,235,85000
T4L,7055,6600,4580,470,255,120,705,0,15,455,91000
T4M,2851,2740,2005,145,365,45,140,0,5,35,110000
T4N,15796,14235,5785,650,1205,960,4925,590,30,85,64500
T4P,13583,12855,6735,1410,1655,315,1955,0,0,795,88000
T4R,14372,13755,9280,1215,1215,220,1645,5,0,170,105000
T4S,9284,8150,5625,420,885,245,560,140,5,265,96000
T4T,5549,5130,3580,325,95,40,365,0,10,720,82000
T4V,9281,8670,5590,565,455,200,1605,60,10,190,78000
T4X,9122,8790,7275,465,445,20,460,0,0,125,131000
T5A,14270,13360,5395,755,3385,125,3530,165,0,5,79500
T5B,8185,7120,3440,405,100,695,2340,130,0,0,64000
T5C,6558,6100,3850,270,460,170,1280,65,0,0,76000
T5E,13556,12635,6590,1055,1990,590,2275,130,0,5,79000
T5G,6855,5815,2800,185,125,585,2085,30,5,0,63600
T5H,16659,13800,1395,235,150,375,9390,2240,20,0,50000
T5J,5654,4010,5,0,0,0,1165,2840,0,0,67500
T5K,16632,14330,220,25,190,20,3660,10220,0,0,64500
T5L,7206,6635,4385,330,685,475,755,0,5,5,82000
T5M,7919,7125,2730,285,260,295,3020,525,5,0,67000
T5N,8006,7165,3200,130,65,115,1900,1740,5,0,86000
T5P,10341,9250,3865,580,290,440,3900,170,0,0,64000
T5R,10373,9845,6735,75,455,240,1730,620,0,0,96000
T5S,3017,2920,1615,675,175,25,95,5,0,330,115000
T5T,30147,28885,14365,2195,5185,60,6040,1025,0,5,96000
T5V,62,60,55,0,0,0,0,0,0,0,
T5W,9056,8330,5500,285,940,280,1330,0,5,0,76500
T5X,16015,15345,8625,1535,2585,80,2515,0,0,0,91000
T5Y,19752,18775,10110,1690,1830,90,4195,200,0,650,100000
T5Z,12095,11655,8115,780,970,20,1770,0,5,0,109000
T6A,6772,6315,4120,110,235,685,945,215,0,0,95000
T6B,4284,4055,2830,200,5,180,830,0,5,20,92000
T6C,10541,9675,5065,310,335,935,2080,940,5,0,82000
T6E,14444,12540,3100,145,260,1280,5705,2040,5,5,67500
T6G,6474,5325,1905,60,40,730,805,1785,0,0,75000
T6H,13289,11960,5370,290,1535,650,2905,1205,5,0,86000
T6J,19657,18430,9225,630,2200,70,4880,1420,0,0,90000
T6K,10871,10235,5150,540,2795,195,1365,100,0,90,84000
T6L,18756,17870,10925,775,2730,430,2730,255,0,0,90000
T6M,12285,11830,8260,1375,1020,70,650,445,0,10,125000
T6N,12,0,0,0,0,0,0,0,0,0,
T6P,867,825,20,0,0,0,0,0,0,800,67500
T6R,16866,16140,10335,1590,1690,15,2455,55,0,0,129000
T6S,6,0,0,0,0,0,0,0,0,0,
T6T,14583,14085,8700,2235,850,100,2195,0,0,0,110000
T6V,7492,7235,4735,505,505,0,1495,0,0,0,110000
T6W,32278,30350,14960,4925,2265,40,7350,805,0,5,111000
