fsa,total_private_dwellings,occupied_by_type_total,single_detached,semi_detached,row_house,apt_duplex,apt_lt5,apt_5plus,other_single_attached,movable,median_income
G0S,32475,30345,23580,2155,205,860,3000,40,190,315,75500
G0T,7759,6495,5080,315,105,330,575,5,35,55,62800
G0V,10207,8070,6415,605,155,345,475,0,20,50,76500
G0W,18298,15135,11755,830,280,940,1095,40,50,145,73500
G0X,33235,27705,23335,630,150,995,2175,0,205,220,65000
G0Y,5875,4365,3905,50,10,130,210,0,5,50,62400
G0Z,4289,3920,3445,90,30,70,225,0,10,55,64500
G1B,6762,6625,4795,655,20,550,335,0,0,260,100000
G1C,16886,16395,8140,785,215,1565,5615,15,55,0,80000
G1E,14733,14030,3470,440,95,1615,7765,605,35,5,60400
G1G,11493,11205,5925,780,130,510,3205,635,20,0,78000
G1H,15572,14940,3980,255,325,1060,7250,2035,35,0,60800
G1J,14182,13225,745,45,160,1355,9435,1400,85,5,48400
G1K,12884,11435,150,20,90,945,7895,2045,280,0,50000
G1L,13773,12770,695,30,40,1405,9990,550,55,5,49200
G1M,10538,10025,800,635,655,945,6375,570,40,0,59600
G1N,5363,4995,350,25,15,730,3630,160,90,0,48000
G1P,8450,8070,2555,640,185,470,4200,0,10,0,64000
G1R,12386,10465,60,40,45,100,7400,2690,130,0,54400
G1S,14792,13655,1330,235,230,655,7040,4130,40,5,70500
G1T,2937,2795,1580,105,210,180,330,385,5,0,133000
G1V,15426,12270,1315,90,40,390,6575,3840,20,0,54400
G1W,11121,10480,3295,490,265,180,4930,1305,10,5,79500
G1X,13699,12980,3835,600,450,150,5915,2005,40,0,72000
G1Y,5703,5485,3330,675,215,85,1110,55,10,5,110000
G2A,6729,6525,4005,465,155,465,1415,0,15,5,90000
G2B,11616,11265,4670,1100,470,615,4165,210,25,0,76500
G2C,6191,5910,1505,545,440,200,2860,360,0,0,80000
G2E,9337,9110,5345,1005,120,605,1970,0,50,20,86000
G2G,4911,4775,2440,530,335,285,820,0,5,355,90000
G2J,1885,1770,245,35,45,10,1440,0,0,0,63200
G2K,6994,6430,1465,345,630,180,3710,95,15,0,83000
G2L,6939,6670,2590,475,200,465,2690,240,15,0,83000
G2M,2306,2260,1360,280,180,135,200,0,0,105,100000
G2N,3600,3495,1920,665,125,335,335,0,5,110,94000
G3A,8604,8285,5390,380,85,235,650,1510,30,10,109000
G3B,3268,3135,2845,20,60,125,80,0,0,5,133000
G3C,4723,4165,3350,215,230,165,165,5,5,20,105000
G3E,6379,6270,3490,1070,335,475,690,55,5,145,103000
G3G,4179,4070,3045,100,20,290,230,5,5,365,91000
G3H,4352,4185,3110,325,10,205,510,0,0,25,87000
G3J,4697,4530,2610,350,265,205,980,110,0,5,88000
G3K,8121,7960,4035,1065,305,430,2090,25,15,0,97000
G3L,5743,4970,3970,130,25,435,380,5,10,15,71500
G3M,3410,3300,1860,315,5,435,630,10,30,15,67000
G3N,5037,4475,3495,280,45,140,320,0,0,195,100000
G3S,2511,2395,1680,220,250,60,155,0,5,25,114000
G3Z,3782,3425,2075,165,10,380,695,0,50,55,64500
G4A,1489,1425,915,45,0,180,285,0,5,0,65500
G4R,10109,8960,4595,435,300,480,2940,175,15,20,75000
G4S,2266,2155,695,40,175,15,5,0,0,1230,87000
G4T,6665,5830,4945,200,105,160,355,0,35,30,75500
G4V,3463,3120,2095,100,40,210,620,0,25,30,54400
G4W,7483,7000,3915,370,105,520,1880,0,40,170,56000
G4X,7352,6780,5010,180,60,335,1120,0,30,35,72000
G4Z,4782,4380,2465,325,70,215,810,90,0,405,81000
G5A,4582,3840,2625,195,15,300,690,0,15,0,63600
G5B,2919,2645,1305,130,150,135,530,0,0,400,85000
G5C,5547,5230,2530,325,215,110,1365,10,25,650,71500
G5H,3433,3255,1775,175,90,250,910,0,30,25,53600
G5J,3035,2855,1810,125,15,180,700,0,20,5,60000
G5L,15887,14820,5745,1100,450,970,5990,485,65,10,55200
G5M,3884,3805,2035,735,105,60,775,0,30,70,86000
G5N,3657,3525,2700,385,25,45,330,0,5,35,91000
G5R,10045,9480,4055,680,165,560,3855,50,80,45,62800
G5T,1518,1385,870,45,110,80,255,0,15,15,57200
G5V,5801,5465,2840,285,95,465,1675,5,15,85,56000
G5X,2874,2725,1875,190,75,125,430,5,15,0,65500
G5Y,11764,11250,5880,970,185,605,3395,90,100,35,58400
G5Z,3408,3280,2005,640,5,40,355,225,15,0,78000
G6A,1000,995,675,125,30,50,110,0,5,0,94000
G6B,4432,4050,2415,85,110,415,970,0,15,40,56800
G6C,3512,3385,2320,205,80,105,645,5,5,20,88000
G6E,5618,5490,3195,845,125,150,1090,0,10,65,78000
G6G,10330,9610,5785,185,75,1135,2300,0,45,85,55600
G6H,3413,3210,2510,35,0,245,340,0,25,45,62800
G6J,4358,4255,3045,355,10,110,670,0,10,55,95000
G6K,3236,3195,2155,465,25,155,380,0,5,0,107000
G6L,7452,7005,4350,385,10,455,1705,5,25,60,59600
G6P,15475,14480,6360,545,135,1230,6145,5,30,25,50800
G6R,1834,1800,1470,100,0,15,185,0,5,25,91000
G6S,2370,2205,1005,715,40,20,435,0,0,5,77500
G6T,4647,4560,2555,1050,15,20,905,0,5,5,87000
G6V,16976,15915,5870,610,655,1475,6185,990,45,85,62800
